target,uri,target_context,roberta_score
basic,http://www.thetalkingdog.com/archives2/2009_10.html,"unsatisfying to an American populace that measures progress in terms of sh*t blowing up on CNN. We need to provide basic ""on the ground"" security, stability and infrastructure so that the Afghans can have a sustainable economy, growing things like raisins",-0.9926
karen,http://www.buddytv.com/articles/american-idol/american-idol-results-which-gu-49685.aspx,"super hot and have always loved her voice. It's the only reason I watch Smash, and I was always team Karen over team Ivy for the role of Marilyn Monroe. Also, American Idol season 5 was when I started watching again,",-0.9927
mid,http://www.slashgear.com/kohjinsha-pa-mid-gets-reviewed-overshadowed-by-massive-price-1663612/,"that the Kohjinsha is versatile yet ""truly insane"" in how it's priced, we know it's dark days for the little MID.
The problem is that the PA-series' specs, build-quality and functionality simply aren't strong enough to warrant what is - as",-0.9928
tea,http://www.neshobademocrat.com/Content/NEWS/News/Article/Cochran-kicks-off-campaign/2/297/33277,"red tape over their mouths.
The week leading up to the Fair, a statement was released by the South Mississippi Tea Party urging its supporters to stop a ""giant, harmonious love-fest,"" as they coined it, by state Republican leaders.
Only about",-0.9930
lit,http://blog.syracuse.com/orangefootball/2009/10/marrone_says_paulus_is_still_h.html,"questions of Paulus during the first half such as, ""Why would you do this? Why would you do that?"" Marrone lit into Paulus on the sidelines after his quarterback was intercepted on Syracuse’s first possession. Paulus tried to feed a slip-screen",-0.9930
sick,http://www.nytimes.com/health/guides/symptoms/muscle-aches/news-and-features.html,"are converting to other mind-body practices like qigong.
If flu shots meant to keep you from getting sick make you sick, are they worth it?
Q. If flu shots meant to keep you from getting sick make you sick, are they",-0.9930
sick,http://www.twilightarchives.com/browse/series/456,"reincarnating for two times. he wanted to find love and finnaly did when Bella arrived. Everything changed when Bella got sick and Robert went to war. What happened to their love??? Read to find out...
|what if charlie finds out about",-0.9932
fire,http://www.tweaktown.com/news/19697/3d_dreams_in_the_modern_browser/index.html,"for some truly different news today? Look no further than the following HTML 5 music experience based on the Arcade Fire song ""We Used to Wait."" ""3 Dreams of Black"" is Google's latest music experience for the browser, written and directed",-0.9932
tea,http://www.michigancapitolconfidential.com/12592,"now famous rant on television railing against government bailouts of bad mortgages, General Motors and Chrysler and suggesting a Chicago tea party later that summer. Ms. Day said she randomly connected with a few people on Twitter about the Santelli diatribe.",-0.9933
sick,http://www2.sptimes.com/Angels_Demons/magic.3.html,"shreds.
As Moore would later put it:
""Doug filleted him.""
The jurors could not stomach Oba Chandler.
Some of them, sick of the smile he had worn through so much of the trial, wanted to slap him. Others were terrified of",-0.9933
slaps,http://investorplace.com/2012/08/3-companies-to-take-off-the-scrap-heap-hpq-bby-yhoo/2/,"or vessel for others’ content. Hence the foray’s with Livestand, CNBC, Alibaba, Axis, etc. But two of the biggest forehead slaps of the decade: turning down a buyout offer from Microsoft because it wasn’t enough money, then not buying Facebook (NASDAQ:FB)",-0.9933
fire,http://www.extraenvironmentalist.com/2012/04/30/episode-40-corporate-influence/,"(Letherette Remix) via This is Real Music
Beach Boys – Wouldn’t It Be Nice (St Etienne Cover) via Soundcloud
Arcade Fire – Neighborhood #1 (Ane Brun Cover) via It’s a Trap
Kings of Leon – Use Somebody (RAC Remix) via Soundcloud",-0.9934
fire,http://www.tabletmag.com/scroll/52341/what-israel-lost-in-the-fire,"didn’t catch them last month, our Turkey Week articles are worth consulting.)
Meanwhile, they think they know who caused the fire: Two Druze teenagers, who were arrested over the weekend, are suspected of negligence in setting the blaze. That is, unless",-0.9935
fire,http://www.thesirenssound.com/2011/04/21/endless-field-studios-efs-volume-i/,"mins, then it’s got to be GOOD.
On the same note, we looking at [ adamjmoore ] ~ [ Analog Fire ] ~ [ Lunar Day ] ~ [ Connectedness Locus ] but to be genuinely honest I never came across",-0.9935
tea,http://www.newuniversity.org/2014/01/features/dish-list-seventh-tea-bar/,"and most popular beverages a new voice in Orange County,” so yeah, that concept makes it pretty obvious where Seventh Tea Bar’s humble abode is –– in the heart of good ol’, “hipster” OC Mart Mix in Costa Mesa.
And even",-0.9935
lol,http://www.trekearth.com/gallery/North_America/United_States/Hokkaido/Hokkaido/Oradea/photo1066996.htm,"ce pays, un POV et angle bien trouvé
bostankorkulugu (42324) 2009-04-23 6:09
the guy looks a bit bitter to me, LOL... a beautiful black and white with the dome of the synagoge on the background...
burGu (4840) 2009-04-23 10:12
You will",-0.9936
rad,https://www.lotro.com/forums/showthread.php?295780-Bw-Irl-Picture-Thread&p=7102376,"Achilles impression from the movie Troy at the Round 1 NAS tournament.
That may be true sir. They look pretty rad!
Hi brandy folks. This is R9 burg Cwenelois. I play this game occasionally and now I'm back. Here are some",-0.9937
shook,http://www.harrypotterfanfiction.com/printerfriendly.php?mode=story&object=313946,"him a smile. ""Besides, you're my best friend.""
""One of many,"" Albus rolled his eyes moving to leave.
""No,"" I shook my head, ""You're my best friend.""
For a second he looked genuinely touched by this sentiment, but Albus being Albus",-0.9937
fire,http://latimesblogs.latimes.com/music_blog/2010/11/grammys-2011-an-early-look-at-album-of-the-year-contenders-part-2.html,"-- and perhaps some deserving ones.
This is Part 2 of a two-part post. Looking for thoughts on the Arcade Fire, Eminem and more? Those are in Part 1.
Lady Gaga, ""The Fame Monster"" (Interscope)
Grammy potential: This is sort of",-0.9937
thirsty,http://citybeat.com/cincinnati/article-24931-mardi_gras_by_the_bite.html,"with
chopped olive relish, you are missing out.
Wash it down
If all this talk of feasting is making you thirsty, it’s always time for a cocktail in NOLA. Sure, there are Hurricanes and Hand Grenades on Bourbon Street for the",-0.9937
shook,https://cradkilodney.wordpress.com/2008/12/11/how-to-get-rid-of-the-drug-dealer-in-your-building/,"“I doubt it, but what does it matter? He’s out of your building. That’s what I said I’d do.”
Mike shook his head in amazement. “You’re some guy!…But Dad’s going to want to know why I spent so much on a",-0.9938
epic,http://www.timeout.com/london/things-to-do/things-to-do-in-london-today,"art collection, tours the world over the next 12 months, growing as it goes. What you get here feels, weirdly, epic and a tad slight. There are three big screens, two showing rolling Leibovitz images, including shots from her original ‘Women’",-0.9940
vibe,http://www.al.com/entertainment/index.ssf/2012/12/quentin_tarantino_film_django.html,"did called ""Black Caesar,"" and James Brown is playing keyboards. The keyboard playing isn't superb but it has so much vibe to it. I really like that soundtrack, and there's a John Singleton movie from the '90s called ""Higher Learning"" and",-0.9940
epic,http://blog.k2snowboarding.com/tag/k2/page/2/,"we rode for the contest.)
The Legendary Shawn Farmer. The rebirth of K.O.T.H fell right on his 45th birthday, an epic coincidence due to his role in pioneering snowboarding in these mountains and ruling it in past K.O.T.H. contests. Respect your",-0.9940
sick,http://www.heritageofshirdisai.org/newsletter/Vol15.htm,"be safe if I pray to you, but what is this BABA? I am get hurt, meet with accidents,
fall sick. This is not why I pray to you. I ask you to take care of 'MY' family
but we have",-0.9941
fire,http://www.academyofbards.org/fanfic/d/davidjduncan_suffer1.html,"himself back to reality, he stated into his
helmet comlink, ""Anything?""
""No,"" Shalimar's voice reported. Just the damn smoke and fire. Crap,
I hate this stuff. I...Hey! At that moment, her feral senses picked
up on something. ""Adam! There's something in",-0.9941
sick,http://www.themindfulword.org/2013/vipassana-meditator-pain-peace/,"get through this, nine days of this… oy! All this coughing/spitting/sneezing is a bit annoying. Why is everyone here so sick. I’ll stop bringing my watch to meditation hall, it’s stretching everything out even more.
Days 2-3: I’m having the most",-0.9941
slaps,http://soapcentral.com/aw/recaps/1999/990607.php,"but this time, it’s Paulina who scams him, and gets him to admit that Remy was her daughter (then she slaps him good and hard). She leaves to get back to the hospital. As Toni was taking Tito to his cell,",-0.9943
mid,http://ohsolovelyvintage.blogspot.com/2012/10/guest-post-by-love-music-wine.html,"an incredible home bar that I thought Oh So Lovely readers would enjoy. Aren't the colors great?
What an amazing mid century pink house, and of course a fun convertible in the driveway!
I spy a Pyrex dish at the back!",-0.9943
griefing,http://www.se7ensins.com/forums/threads/every-call-of-duty-abbreviations.438379/,"x3 (Call of Duty 4: Modern Warfare) One Man Army or Scavenger perk. * GOML: Get on my level. * Griefing: Intentionally ruining other players' fun by performing annoying actions (e.g. team-killing, using excessive flashbangs). * GTFO: Get the f*** Out",-0.9943
sick,http://newyork.cbslocal.com/2014/05/07/girl-3-critically-injured-by-falling-bed-in-newark/,"seriously, it does,” a man added. “But I hope she comes through. I hope she comes through; feels better.”
“That’s sick, I mean – you don’t leave kids alone like that,” another man told 1010 WINS’ Holli Haerr. “You know what",-0.9944
fire,http://theotaku.com/cards/view/133803/putting_out_fire,"a Sex Therapist category *sparkles*
The source of inspiration for this was, of course, David Bowie's Cat People (Putting Out Fire), but I while making this I was listening to Boney M's Ma Baker (I love songs that actually speak about",-0.9945
salty,http://www.mmorpg.com/showFeature.cfm/feature/7901/Matt-Miller-Charity.html,"can make rolls for all to see. I warn you now that if you tune it there will be some salty language. Dice and probabilities usually evoke strong reactions out of people, and sometimes we just can’t help ourselves from letting",-0.9945
tea,http://www.nopalcactusblog.com/2010/10/,"as “lunch”. Bryan will also be exhibiting his first Mad Tea Party piece and other political works.
The Mad Hatter Tea Party Night is part promotion for Bryan’s artistry, part fundraiser for progressive causes and 100% good time for those wanting",-0.9945
tea,https://www.pinterest.com/blumuun/elephant-owl-peacock/,"Elephant mug with tea bag holder!!! UrbanOutfitters.com
So adorable my step mom would love this :)
Adorable elephant mug with tea bag holder!
Elephant mugs with built-in tea bag holder
The 11 Best Coffee Mugs | The Eleven Best
Elephant mug",-0.9945
vibes,https://en.wikipedia.org/wiki/Rhythm_%26_Vines,"on the last three days of 2015. It featured Angus & Julia Stone, Astronaut, Barely Alive, Brendon Thomas & The Vibes, Concord Dawn, Cori Gonzalez-Macuer, Cut Snake, Dan Aux, Dave Dobbyn, David Dallas, Diaz Grimm, Dimension, Diskord, Dodge & Fuski, Dubloadz,",-0.9945
lol,http://www.netmums.com/coffeehouse/home-life-8/birthdays-parties-celebrations-180/567338-unique-party-ideas-parents-40th-wedding-anniversary.html,"(gold sugared almonds, a gold engraved frame, and gold necklace for her mum, some nice bits some cheaper odd bits lol)
You could make up a montage of pictures form their marriage, wedding pics, new pics, pics in between
or even",-0.9946
fire,http://www.glaad.org/blog/snapshots-our-work-36?page=18,"- GLAAD Slams CNN Commentator for Controversial Tweet About David Beckham Undies Ad
Entertainment Weekly - GLAAD wants CNN to fire Roland S. Martin over David Beckham tweets
The Hollywood Reporter - Amid Protest, J.C. Penney Keeping Ellen As Spokesperson
The",-0.9946
alpha,http://missfancypants.typepad.com/little_miss_fancy_pants/2012/06/fancy-this-laundry-signage.html,"Spring: Sweet'ner patterned paper
Time For Spring: Short & Stout patterned paper
Time For Spring: Die Cuts
Time For Spring: Alpha Stickers
1. First I covered my chipboard banners with some of my favorite pieces of paper from the fabulous Time",-0.9946
cooked,https://www.fanfiction.net/s/8271877/1/The-New-Guy,"at each other for a moment before they both turned their attention back to the impending disaster that Evie had cooked up within the previous five minutes.
The 'training area' Evie insisted on was the far edge of the Docks that",-0.9946
vibes,http://www.dooyoo.co.uk/music-records/hands-little-boots/,"- it's an album that era-hops with an impressive fluidity. Little Boots jumps effortlessly and uncannily between early eighties synth vibes and more modern, electro-dance, though the divide between where one ends and another begins is rarely distinct. This proves a",-0.9946
bro,http://www.powerstroke.org/forum/6-7-exterior-discussion/217061-factory-paint-question.html,"Tagged: 0 Thread(s)
Quoted: 0 Post(s)
Thanked 2 Times in 2 Posts
Feedback Score: 0 reviews
Thanks for your reply Bro!
I'm Not 100% sure which color i'm going with but the Bronze looks Freaking Sweet! and if i go regular",-0.9946
fire,http://scaredmonkeys.com/category/media/rush-limbaugh/,"her to speak and was not acting defensively and like a boorish fool. As stated by the Gateway Pundit, the fire works started almost immediately.
Keep it up O’Reilly and this is how you will lose your audience. After watching the",-0.9946
sick,http://www.comicbookmovie.com/animated_features/astro_boy/100-days-of-superheroes-day-81-astro-boy-2009-a67759,"animation is pretty good for the time it was made. Sure it’s no Pixar, but the fight scenes are pretty sick and imaginative. There is a good variation in the action pieces and the movie keeps them coming pretty quick.
The",-0.9946
epic,http://www.cracked.com/article_19576_6-pop-culture-visionaries-who-get-too-much-credit_p2.html?wa_user1=4&wa_user2=Movies+%26+TV&wa_user3=article&wa_user4=noincite,"or 4th edition.
Who Actually Deserves the Credit:
During a nerd side quest, Dave Arneson and Gary Gygax had an epic random encounter when they chanced to meet at Gen Con in 1969. Gygax was working on something called Chainmail, which",-0.9947
basic,http://www.highsnobiety.com/2008/04/23/feature-garbstores-ian-paley/,"Taking inspiration from vintage clothing seems basic on the surface. However, rarely do people push beyond the basic rehashing of old themes and looks. Garbstore is about",-0.9947
mog,https://sites.google.com/a/mogmusicnetwork.com/www/mog-101-guide,"MOG: A VIBRANT MUSIC COMMUNITY, NOT JUST A CONTENT SYNDICATOR
We are psyched to feature your blog’s content on MOG! Posts",-0.9947
fire,http://townhall.com/news/business/2012/06/14/europe_crisis_spreads_as_merkel_resists_big_steps,"get a Contest Without Trump? | Human Events
Kurt Schlichter - The Case for Donald Trump
RUMOR. Hillary Clinton To Fire A Crap Load Of Staff After Losing New Hampshire | RedState
Rob Lowe catches heat for comments about Cam Newton's",-0.9948
epic,http://event.eslgaming.com/gamescom-2014/halo/,"Chief Collection and Halo 2: Anniversary, but 343 Industries is also working with ESL and Twitch to bring you an epic pre-launch 4v4 tournament. Open to all gamescom attendees, the tournament will feature $10,000 USD in prizing, four days of qualification",-0.9948
fire,https://www.fanfiction.net/s/7237750/25/,"done anything to hurt any of us,"" Anwen tried to calm her hot-headed husband. He was far more likely to fire curses first and ask questions second. She was still waiting for age to temper his personality.
""Who is he?"" Sirius",-0.9948
shook,https://www.fanfiction.net/s/8361692/1/Greaser-Prince,"""girl"" or not, he didn't want to be in Aizen's grasp anymore.
Grimmjow's gaze shifted over to Aizen, and Grimmjow shook his head. ""Ya know what t' do,"" he reminded. ""Let 'er go."" His blue eyes trailed from Aizen's stupid face",-0.9948
67,http://www.rabbitsreviews.com/s8461/8Teenies-Pass.html,"Number of Reviews: 19
Average Score: 67
This site is closed.
This site is closed.
When it comes to hot teen models, it's hard to choose between",-0.9948
sick,https://sheltershelter.wordpress.com/category/magic/,"January 8, 2013 Filed under: art, Cute, Film, funny, Inspiration, magic, tv, Video | Tags: animation, found footage, video
Pretty sick 90+ minute collection of animated shorts from 1978. Flip through and enjoy these strange little moving picture gems! The quality",-0.9949
fire,http://www.ecoshock.info/2012_07_01_archive.html,"the end of newspapers down-under. Credibility gone.
Not that American or Canadian media are doing any better. Covering the Colorado fire story, the weathercasters blow up the horror of the heat, and the high winds, without ever mentioning climate change. Apparently",-0.9949
tea,http://www.kentuckyspeedway.com/media/news/tight-three-way-firestone-indy-lights-championship-battle-coming-kentucky-speedway.html,"top 10s and then two top-16s. So 13th (at Kansas) and 16th (at Milwaukee) is not exactly my cup of tea. But Homestead, the season opener, we led most of the laps, finished second. Frustrating to finish second, actually, in those",-0.9949
savage,http://www.bitzbox.com/sites/sus/wordpress/?m=201101,"actual gaming this year too. I don’t do enough, but then again do any of us? I’ve still got the Savage Worlds War of the Dead game coming up and we are trading emails about the next session of our Star",-0.9949
sick,http://www.survivinginfidelity.com/archives.asp?tid=500750,"when I'll actually feel normal again, whatever that is now
Sick of thinking about it, sick of talking about it, sick of NOT talking about it.
I am 7 months pregnant, sweaty, and the size of a whale AND I can't",-0.9950
thirsty,http://www.drf.com/blogs/holidayfest-side-carryover,"anyone. Buffum and Coil set a contested but mild pace with Groupie Doll behind them on the outside and Stay Thirsty surprisingly far back early. Turning for home, Groupie Doll collared the two leaders, but didn't put them away the way",-0.9950
slay,http://www.gamerevolution.com/faq/metroid-prime-2-echoes/faq-for-metroid-prime-2-1971,"one he immediately does the suck move.
PHASE SIX: Three worms in phase one mode now! Avoid their hopping and slay them
the same way you did the rest!
PHASE SEVEN: All three worms in phase two/three mode now. Charged light",-0.9951
sick,http://jezebel.com/5980408/lady-french-kisses-frog-with-tongue-and-everything-in-bizarro-commercial?tag=wtf,"but feel sympathy for the poor frog, who is probably just like, ""WTF is wrong with this human? Is it sick? Is it trying to eat me? Just get it over with!""
So, what's up, all the single ladies: does this",-0.9951
epic,http://www.stuff.co.nz/sport/rugby/opinion/8974193/Knowler-Crusaders-have-earned-choking-tag,"and 2010 they just didn't have the firepower to combat the Bulls in Pretoria and Soweto and in 2011 their epic travel schedule, a consequence of the earthquakes that left them homeless, caught up with them in the final against the",-0.9951
aura,http://isthmus.com/news/cover-story/love-everybody/,"Mutha, thank you so much for everything you do for me and Mike. I love you, Raven Give Harpo and Aura a kiss for me.
To The Big Duder, from your special lady friend. I love you. How bout some coitus?",-0.9951
tea,http://steepster.com/Sixiecr/posts/169545,"Laoshan Black… hmmmm… So much so that I did a double take to make sure I had put the right tea in my gaiwan. Yep! Not to be overshadowed by the aforementioned steepster juggernaut, this tea can certainly hold its own.",-0.9951
slaps,http://www.denverpost.com/commented/ci_22793603?source=commented-,"as the next person. And it happens a lot. I believe whenever I enter an airport, someone sneaks up and slaps a sign on my back that reads, ""I Have A Hand Grenade In My Shorts.""
Sometimes, though, all the frisking",-0.9952
fire,https://en.wikipedia.org/wiki/Tia_%26_Tamera,"post pregnancy pictures of herself on the Internet.|
|29||21||""Stripteased""||January 8, 2013|
|Tia takes a provocative dancing class to keep the fire alive in her marriage. Tamera plans a final night out with the girls before the baby is born.|
|30||22||""Overdue and",-0.9952
sick,http://wiki.twit.tv/wiki/TWiT_207/Transcript,"so you can plug it into a TV and really see it in HD, is that the idea?
Veronica Belmont Sick man!
Veronica Belmont Yes, they can – no, yeah, you can, there is output to TV and it looks really",-0.9952
fire,http://www.zeldadungeon.net/Zelda05-ocarina-of-time-boss-guide.php,"- His third attack is to stick his head out and lean over the edge,
pausing a moment before breathing fire or smacking you if you're
close enough. This is your chance to teach him a lesson. Each
time he does",-0.9953
vibe,http://www.deadlantern.com/2011/02/08/the-wicker-tree-trailer/,"was being made hasn’t been 100% abated by this trailer, but I feel it gives off a decent Wicker Man-ish vibe. I think Hardy might still get the tone and atmosphere that made the first film so great, so I’m comforted",-0.9953
fire,https://www.raileurope.com/blog/7227-bulgaria-with-eastern-european-pass,"fellow travelers must have said, “He better run.” To be honest, I thought about it. If the car WAS on fire, I would have been better off running away. Forget the $2,000.00 deposit! Get me out of here!
I wanted to",-0.9953
fire,http://www.destructoid.com/pokemon-the-origin-stars-red-goes-back-to-the-start-260229.phtml?nav=mobile&mode=mobile,"text?Agent9 I'm dying of laughter, these are too good XD
super Zangeif OPParismio How dare they price her so low...Fuzunga Fire Emblem Fates special edition is confirmed to have all three versions on one cartridge, so you DO get Revelation early.",-0.9953
shook,http://www.fulltextarchive.com/pages/The-Pawns-Count2.php?hidelinkbox=1,"than any woman in the world,"" he answered promptly. ""And my
confession is--well, just that. Will you marry me?""
Pamela shook her head.
""Quite early in life,"" she confided, ""I made up my mind that I would
never give a definite",-0.9953
lol,https://www.pinterest.com/likefrankiesaid/isla/,"Babies Clothes
Memory quilt made from old baby clothes~ Adorable!! Will definitely be doing this... If we have a girl lol!
Memory quilt made from old baby clothes~ adorable!.... I'm actually saving all my kids shirts from sports over the years",-0.9953
tea,http://kojo-designs.com/tag/tea-wreath/,"(I think because of their reconnaissance info-gathering)- too cute.
And just to keep things real, I am finished with two tea wreaths, partially finished with the third and still haven’t started the fourth. I will probably be finishing those last two",-0.9954
rad,http://www.destructoid.com/blogs/Johnny+Luchador/contest-internets-next-top-streamer-boglin-king-edition-252979.phtml,"Hi, I'm Johnny Luchador, Host of the Super Fantastic Video Game Rad Show: Get THere!
I've been a caster on Dtoid.tv for like god, since the beginning. I was forged from the",-0.9954
fire,http://staytrue2.polyvore.com/,"thanks for checkin' my profile out!
My interests: Music-The Strokes, The Ramones, The Rolling Stones, Led Zepplin, The Clash, Arcade Fire, The Yeah Yeah Yeahs, NeverShoutNever!, Incubus, Blink 182, (+44), Michelle Branch, Regina Spektor,Modest Mouse, The Arctic Monkeys, All Time Low,",-0.9955
lol,http://www.warcraftmovies.com/movieview.php?id=126035,"its' skillcap since vanilla/TBC times, but hey, what can you do?
What to expect:
-Undead Male Warlock
-Stupid high crits (LOL LK)
-Bad, UNDERGEARED players
-NO ARENA (Do not watch if you require arena to be in a movie in order",-0.9955
aura,http://drownedinsound.com/releases/18250/reviews/4147788,"too in-your-face through some ill-placed Eighties drums. ‘I’ll Call You’ also suffers, primarily from being bogged down by an overly-sinister aura that’s not as well realise as Cut Your Teeth.
But for every bump, there’s the epic majesty of tracks like",-0.9955
fire,http://www.dailyherald.com/article/20120430/sports/704309780/,"slow with a good game against Marmion to get into the championship game. All in all, our offense was one fire.'
Matt Landry led the offense and Austin Nobregas paced the defense in front of a solid performance from keeper, Steven",-0.9955
fire,http://whipchick.livejournal.com/12805.html?thread=464389,"And I say, “Yes.”
And, with William, I start mapping out the act.
“What the producers really like is the fire trick,” he says. “But bigger. Can you add some aerialists?”
William thinks it’s important it be big. America’s Got Lawsuits",-0.9955
epic,http://and-now-the-screaming-starts.blogspot.com/2008/01/books-great-pumpkin-it-aint.html,"lot smarter than our buddy Charlie, aren't you?
Tell the truth now – who the hell isn't?
Fans of the epic horror fiction of King or the mythology-building works of Barker might find this book a little thin. Ultimately, it belongs",-0.9956
67,http://www.blogtalkradio.com/search?q=dnc-2012-barack-obama-democract,"participated in the debate
4) WHAT! Obama wants to increase my oil bill?
Join Host Live Chats
- John Baptist (67 chatters)
- NTEB GOSPEL RADIO BROADCAST (34 chatters)
- HINDSIGHT RADIO (19 chatters)
- Psychic Teachers (16 chatters)
- WGAG",-0.9956
vibe,http://www.washingtonpost.com/wp-dyn/content/article/2007/05/18/AR2007051800557_pf.html,"and baked Alaska. Small plates run from $7 to $16; entrees are in the $20-to-$25 range.
SLEEPS: Keep the art vibe going at Miami Beach's Sagamore (1671 Collins Ave., 305-535-8088, http://www.sagamorehotel.com/), which for 15 years has compiled an impressive collection (photography,",-0.9956
tea,http://www.zimbabwesituation.com/old/june11_2010.html,"apparatus of the ZMC, he should be told. But until that epiphany occurs he had better get used to making tea.
Oh, and those members of the ZMC who think Mahoso should stay on, please tell us what qualities they most",-0.9957
stfu,http://www.lucasforums.com/showthread.php?p=1357305&mode=threaded,handle an aspect of the game because your not good enough to learn or counter these moves. Please stfd and stfu until you can grasp the concept. Good Fight.,-0.9958
tea,http://www.peertrainer.com/LoungeCommunityThread.aspx?ForumID=1&ThreadID=15217,"The New Science!
3 Myths About Weight Loss With JJ Virgin
Related Article :
New PEERtrainer Articles :
Why Green Tea Helps You Lose Weight
How To Lose A Lot Of Weight, Fast
5 Things You Must Know Before Doing A",-0.9958
tea,http://www.peertrainer.com/LoungeCommunityThread.aspx?ForumID=1&ThreadID=3279,"The New Science!
3 Myths About Weight Loss With JJ Virgin
Related Article :
New PEERtrainer Articles :
Why Green Tea Helps You Lose Weight
How To Lose A Lot Of Weight, Fast
5 Things You Must Know Before Doing A",-0.9958
unbox,http://www.toonhound.com/th70.htm,"else
in the UK.
Anywho, let's get back to Morph, because he really is
wonderful, as you'll see when we unbox him!
Bigger ranges usually have their own Harrop boxes and colour
schemes. But Morph is a special release, so he",-0.9958
brat,http://www.examiner.com/article/jagged-edge-brings-hope-to-hosea-feed-the-hungry-and-homeless?cid=rss,"she wowed the audience with her new single “100” (now available on iTunes), which featured a surprise performance from Da Brat. Needless to say the crowd went crazy!
Up next was DJ Nabs. Playing the greatest hits of Hip Hop and",-0.9959
sick,http://theleafsnation.com/2014/8/4/the-year-is-2014,"lose its relevance of old as it becomes easier to follow prospects via the internet.
I'm sure the moderators are sick of deleting ""Crosby to Leafs, according to muchlegittradetracker.wordpress.com"" posts, but I'm not sure that's not what this move is about.",-0.9959
karen,http://firedoglake.blogspot.com/2005_08_07_firedoglake_archive.html,"empowered Fitzgerald, the only power his supervisor has is to fire him.
As a side note, if Democrats pull a Karen Hughes redux
and don't set their alarm clocks to question Flanigan about his potential conflicts of interest re: l'affair Plame",-0.9960
alpha,http://forums.cgsociety.org/archive/index.php?t-126560.html,"PM
i have a problem, and no more ideas
iīve connected a lambert with a mr defraction shader and my alpha channel get totaly messed up in the rendering ?
does someone know how to connect a alpha channel correctly ?",-0.9960
fire,http://pokemondb.net/pokebase/rmt/17012/rate-my-infernape?show=17116,"there something wrong with him? It won't let me use him on Random Matchup, I figured it's because he knows Fire Punch/Thunder Punch from the Platinum move tutors, but I got them from the tutor (I didn't hack for the moves).",-0.9960
epic,http://marketinginteractions.typepad.com/marketing_interactions/2013/12/index.html,"that went viral to the tune of 57M views and counting for Volvo Trucks.
It's a great stunt, dubbed The Epic Split
Volvo created the video to showcase its new precision steering feature on the big rigs.
It's a really good",-0.9961
tea,http://www.eatdrinksnack.com/index/2011/2/25/185-viva-le-revolution.html,"brain, i picked up a revolutionary south american-inspired snack-drink combo. for my snack, i went with a fearless matcha green tea peppermynt chocolate bar. since there's a bright orange sticker on the back that reads ""$6.99,"" i'm going to assume that",-0.9961
basic,http://dressaday.com/2006/09/28/oh-yes-you-can-if-you-want-to-first-in-a-series-of-exhortations-to-sew/,"and my monologue is cut off too soon. So I thought I'd post it here. You, too, can sew!
Sewing, basic sewing, is not really that complicated. If you can cook or drive a car, you can sew. (If you can",-0.9962
basic,http://www.gsmarena.com/nokia_c2_00-review-627.php,"loud on this one.
There's no hiding that the Nokia C2-00 is a cheap phone - the camera is as basic as they get. But instead of putting fancy disguises, Nokia went ahead and added some features to make the C2-00",-0.9963
shook,http://www.harrypotterfanfiction.com/printerfriendly.php?mode=story&object=313946,"because I honestly wanted to feel the pressure of his lips on mine.
After a few minutes of indulgence, I shook my head and pushed myself to my feet. I couldn’t think of Sampson like that. Until he was transferred he",-0.9963
sick,http://sydney.edu.au/engineering/it/~matty/Shakespeare/texts/comedies/twogentlemenofverona_2.html,"paragon.|
|VALENTINE||Call her divine.|
|PROTEUS||I will not flatter her.|
|VALENTINE||O, flatter me; for love delights in praises.|
|PROTEUS||When I was sick, you gave me bitter pills,
And I must minister the like to you.
|VALENTINE||Then speak the truth by her; if",-0.9963
sick,https://www.worldpulse.com/en/community/users/lotusflower/posts/9145,"only it were that simple!!!
I believe that EVERYTHING happens for a reason…
About 4 months ago I was home sick. While watching the Oprah show…she had these people talking about this book “Half the Sky” I found my self getting",-0.9964
troll,http://www.freerepublic.com/focus/f-news/2855440/posts?page=2,"morning because I cast a strategic vote for paul but then felt so dirty after voting for the treasonous little troll that I had to go home and shower again!
Even if turnout in VA is low, how do you expect",-0.9964
basic,https://www.washingtonpost.com/news/reliable-source/wp/2014/02/28/tina-brown-says-women-should-lean-on/,"but American women can get detached and forget just how hard women in other countries are fighting for the most basic rights: Can they drive? Can they marry who they love?
What is “live journalism?”
It’s as journalistically intense as anything",-0.9964
tea,http://theobamadiary.com/tag/2010/,"want to privatize Medicare. If you are a child seeking an education or an older American seeking health care, the Tea Party budget is toxic to your future.”
Democratic Rep. Lynn Woolsey (Calif.) said the Ryan plan is “one of the",-0.9964
fire,http://alterx.blogspot.com/2012/08/the-pathetic-glory-of-phony-war.html,"just another phony ""reality"" show that's relatively cheap to make that glorifies war. Wanta make it more real? Live return fire and real AP explosions. Let's see what a hero Todd Palin is with his arms and legs and face blown",-0.9964
sick,https://ebooks.adelaide.edu.au/b/buchan/john/sick/complete.html,"count. But it’s going to be a blasted country to travel. See that black gash? I reckon that’s where the Sick Heart River flows, and it’ll be hell’s own job to get down to it.”
“D’you think Lew and Galliard are",-0.9965
aura,http://www.irishtimes.com/news/health/raining-cats-and-dogs-and-elephants-1.557569,"300 people packed in. Only 10 men, though.”
I give him a kick for going. We have to maintain an aura of all-knowing at all times. We cannot, ever, admit to needing guidance. But I wouldn’t mind a few free tips,",-0.9965
